,Date,Price,Open,High,Low,Change %,,,,,
Tuesday,29/03/16,"6,506600","6,508200","6,511700","6,506200","-0,010000000000000000",-0.01%,,,29/03/16,Tuesday
Wednesday,30/03/16,"6,465000","6,506800","6,506800","6,465000","-0,640000000000000000",-0.64%,,,30/03/16,Wednesday
Thursday,31/03/16,"6,449000","6,467000","6,469000","6,448000","-0,250000000000000000",-0.25%,,,31/03/16,Thursday
Friday,01/04/16,"6,478600","6,460400","6,480200","6,460400","0,460000000000000000",0.46%,,,01/04/16,Friday
Saturday,02/04/16,"6,478600","6,466467","6,479667","6,466467","0,306667",,,,02/04/16,Saturday
Sunday,03/04/16,"6,478600","6,472533","6,479133","6,472533","0,153333",,,,03/04/16,Sunday
Monday,04/04/16,"6,478600","6,478600","6,478600","6,478600","0,000000000000000000",0.00%,,,04/04/16,Monday
Tuesday,05/04/16,"6,477200","6,468500","6,478600","6,466300","-0,020000000000000000",-0.02%,,,05/04/16,Tuesday
Wednesday,06/04/16,"6,480900","6,478200","6,490100","6,477100","0,060000000000000000",0.06%,,,06/04/16,Wednesday
Thursday,07/04/16,"6,463000","6,478400","6,479000","6,463000","-0,280000000000000000",-0.28%,,,07/04/16,Thursday
Friday,08/04/16,"6,465800","6,476100","6,482700","6,465800","0,040000000000000000",0.04%,,,08/04/16,Friday
Saturday,09/04/16,"6,463700","6,471767","6,479967","6,462700","-0,006667",,,,09/04/16,Saturday
Sunday,10/04/16,"6,461600","6,467433","6,477233","6,459600","-0,053333",,,,10/04/16,Sunday
Monday,11/04/16,"6,459500","6,463100","6,474500","6,456500","-0,100000000000000000",-0.10%,,,11/04/16,Monday
Tuesday,12/04/16,"6,465600","6,461300","6,472600","6,457200","0,090000000000000000",0.09%,,,12/04/16,Tuesday
Wednesday,13/04/16,"6,478400","6,463100","6,478400","6,461600","0,200000000000000000",0.20%,,,13/04/16,Wednesday
Thursday,14/04/16,"6,482600","6,485700","6,489800","6,477800","0,060000000000000000",0.06%,,,14/04/16,Thursday
Friday,15/04/16,"6,475600","6,482600","6,490100","6,470100","-0,110000000000000000",-0.11%,,,15/04/16,Friday
Saturday,16/04/16,"6,475467","6,481800","6,488567","6,471800","-0,076667",,,,16/04/16,Saturday
Sunday,17/04/16,"6,475333","6,481000","6,487033","6,473500","-0,043333",,,,17/04/16,Sunday
Monday,18/04/16,"6,475200","6,480200","6,485500","6,475200","-0,010000000000000000",-0.01%,,,18/04/16,Monday
Tuesday,19/04/16,"6,458100","6,475600","6,478100","6,458100","-0,260000000000000000",-0.26%,,,19/04/16,Tuesday
Wednesday,20/04/16,"6,470800","6,462800","6,473300","6,462800","0,200000000000000000",0.20%,,,20/04/16,Wednesday
Thursday,21/04/16,"6,481900","6,481000","6,485600","6,471500","0,170000000000000000",0.17%,,,21/04/16,Thursday
Friday,22/04/16,"6,500900","6,482600","6,500900","6,478000","0,290000000000000000",0.29%,,,22/04/16,Friday
Saturday,23/04/16,"6,498267","6,491367","6,504433","6,482933","0,153333",,,,23/04/16,Saturday
Sunday,24/04/16,"6,495633","6,500133","6,507967","6,487867","0,016667",,,,24/04/16,Sunday
Monday,25/04/16,"6,493000","6,508900","6,511500","6,492800","-0,120000000000000000",-0.12%,,,25/04/16,Monday
Tuesday,26/04/16,"6,493500","6,489600","6,499900","6,489600","0,010000000000000000",0.01%,,,26/04/16,Tuesday
Wednesday,27/04/16,"6,495000","6,488000","6,497200","6,487500","0,020000000000000000",0.02%,,,27/04/16,Wednesday
Thursday,28/04/16,"6,475900","6,499000","6,504700","6,475600","-0,290000000000000000",-0.29%,,,28/04/16,Thursday
Friday,29/04/16,"6,474100","6,473700","6,488200","6,462200","-0,030000000000000000",-0.03%,,,29/04/16,Friday
Saturday,30/04/16,"6,474100","6,473833","6,483500","6,466167","-0,020000",,,,30/04/16,Saturday
Sunday,01/05/16,"6,474100","6,473967","6,478800","6,470133","-0,010000",,,,01/05/16,Sunday
Monday,02/05/16,"6,474100","6,474100","6,474100","6,474100","0,000000000000000000",0.00%,,,02/05/16,Monday
Tuesday,03/05/16,"6,491700","6,473800","6,491700","6,471400","0,270000000000000000",0.27%,,,03/05/16,Tuesday
Wednesday,04/05/16,"6,494700","6,491600","6,506600","6,491500","0,050000000000000000",0.05%,,,04/05/16,Wednesday
Thursday,05/05/16,"6,503400","6,501100","6,509500","6,498300","0,130000000000000000",0.13%,,,05/05/16,Thursday
Friday,06/05/16,"6,500100","6,506900","6,510500","6,498600","-0,050000000000000000",-0.05%,,,06/05/16,Friday
Saturday,07/05/16,"6,505700","6,503900","6,513133","6,498367","0,053333",,,,07/05/16,Saturday
Sunday,08/05/16,"6,511300","6,500900","6,515767","6,498133","0,156667",,,,08/05/16,Sunday
Monday,09/05/16,"6,516900","6,497900","6,518400","6,497900","0,260000000000000000",0.26%,,,09/05/16,Monday
Tuesday,10/05/16,"6,518300","6,517300","6,526600","6,515900","0,020000000000000000",0.02%,,,10/05/16,Tuesday
Wednesday,11/05/16,"6,492000","6,518800","6,518800","6,492000","-0,400000000000000000",-0.40%,,,11/05/16,Wednesday
Thursday,12/05/16,"6,516800","6,497300","6,521300","6,497300","0,380000000000000000",0.38%,,,12/05/16,Thursday
Friday,13/05/16,"6,532000","6,518100","6,534300","6,518100","0,230000000000000000",0.23%,,,13/05/16,Friday
Saturday,14/05/16,"6,528400","6,521667","6,533933","6,518600","0,096667",,,,14/05/16,Saturday
Sunday,15/05/16,"6,524800","6,525233","6,533567","6,519100","-0,036667",,,,15/05/16,Sunday
Monday,16/05/16,"6,521200","6,528800","6,533200","6,519600","-0,170000000000000000",-0.17%,,,16/05/16,Monday
Tuesday,17/05/16,"6,520400","6,522200","6,530900","6,519000","-0,010000000000000000",-0.01%,,,17/05/16,Tuesday
Wednesday,18/05/16,"6,538800","6,525300","6,540600","6,525300","0,280000000000000000",0.28%,,,18/05/16,Wednesday
Thursday,19/05/16,"6,547000","6,545500","6,550700","6,540800","0,130000000000000000",0.13%,,,19/05/16,Thursday
Friday,20/05/16,"6,549000","6,546300","6,549000","6,538500","0,030000000000000000",0.03%,,,20/05/16,Friday
Saturday,21/05/16,"6,551233","6,545600","6,552633","6,539800","0,053333",,,,21/05/16,Saturday
Sunday,22/05/16,"6,553467","6,544900","6,556267","6,541100","0,076667",,,,22/05/16,Sunday
Monday,23/05/16,"6,555700","6,544200","6,559900","6,542400","0,100000000000000000",0.10%,,,23/05/16,Monday
Tuesday,24/05/16,"6,557200","6,551500","6,559200","6,550700","0,020000000000000000",0.02%,,,24/05/16,Tuesday
Wednesday,25/05/16,"6,554100","6,559400","6,565000","6,554100","-0,050000000000000000",-0.05%,,,25/05/16,Wednesday
Thursday,26/05/16,"6,557000","6,559800","6,564400","6,552500","0,040000000000000000",0.04%,,,26/05/16,Thursday
Friday,27/05/16,"6,563300","6,554800","6,566500","6,554400","0,100000000000000000",0.10%,,,27/05/16,Friday
Saturday,28/05/16,"6,569933","6,563200","6,572567","6,561667","0,166667",,,,28/05/16,Saturday
Sunday,29/05/16,"6,576567","6,571600","6,578633","6,568933","0,233333",,,,29/05/16,Sunday
Monday,30/05/16,"6,583200","6,580000","6,584700","6,576200","0,300000000000000000",0.30%,,,30/05/16,Monday
Tuesday,31/05/16,"6,582900","6,583000","6,588900","6,575100","0,000000000000000000",-0.00%,,,31/05/16,Tuesday
Wednesday,01/06/16,"6,575100","6,584000","6,594400","6,574600","-0,120000000000000000",-0.12%,,,01/06/16,Wednesday
Thursday,02/06/16,"6,584500","6,577200","6,586500","6,576900","0,140000000000000000",0.14%,,,02/06/16,Thursday
Friday,03/06/16,"6,564800","6,582500","6,588300","6,564800","-0,300000000000000000",-0.30%,,,03/06/16,Friday
Saturday,04/06/16,"6,564433","6,573300","6,581833","6,561500","-0,206667",,,,04/06/16,Saturday
Sunday,05/06/16,"6,564067","6,564100","6,575367","6,558200","-0,113333",,,,05/06/16,Sunday
Monday,06/06/16,"6,563700","6,554900","6,568900","6,554900","-0,020000000000000000",-0.02%,,,06/06/16,Monday
Tuesday,07/06/16,"6,571500","6,565300","6,573900","6,565300","0,120000000000000000",0.12%,,,07/06/16,Tuesday
Wednesday,08/06/16,"6,562500","6,573200","6,573900","6,561200","-0,140000000000000000",-0.14%,,,08/06/16,Wednesday
Thursday,09/06/16,"6,561900","6,561900","6,561900","6,561900","-0,010000000000000000",-0.01%,,,09/06/16,Thursday
Friday,10/06/16,"6,561900","6,561900","6,561900","6,561900","0,000000000000000000",0.00%,,,10/06/16,Friday
Saturday,11/06/16,"6,569833","6,562067","6,572133","6,562067","0,120000",,,,11/06/16,Saturday
Sunday,12/06/16,"6,577767","6,562233","6,582367","6,562233","0,240000",,,,12/06/16,Sunday
Monday,13/06/16,"6,585700","6,562400","6,592600","6,562400","0,360000000000000000",0.36%,,,13/06/16,Monday
Tuesday,14/06/16,"6,596500","6,582300","6,598100","6,582300","0,160000000000000000",0.16%,,,14/06/16,Tuesday
Wednesday,15/06/16,"6,581800","6,606000","6,607600","6,581100","-0,220000000000000000",-0.22%,,,15/06/16,Wednesday
Thursday,16/06/16,"6,592000","6,580600","6,593000","6,572100","0,150000000000000000",0.15%,,,16/06/16,Thursday
Friday,17/06/16,"6,588400","6,593400","6,596000","6,581700","-0,050000000000000000",-0.05%,,,17/06/16,Friday
Saturday,18/06/16,"6,584600","6,589900","6,591633","6,578600","-0,090000",,,,18/06/16,Saturday
Sunday,19/06/16,"6,580800","6,586400","6,587267","6,575500","-0,130000",,,,19/06/16,Sunday
Monday,20/06/16,"6,577000","6,582900","6,582900","6,572400","-0,170000000000000000",-0.17%,,,20/06/16,Monday
Tuesday,21/06/16,"6,590300","6,574000","6,591000","6,573000","0,200000000000000000",0.20%,,,21/06/16,Tuesday
Wednesday,22/06/16,"6,577500","6,592400","6,595400","6,572500","-0,190000000000000000",-0.19%,,,22/06/16,Wednesday
Thursday,23/06/16,"6,577200","6,576200","6,585700","6,570800","0,000000000000000000",-0.00%,,,23/06/16,Thursday
Friday,24/06/16,"6,621800","6,586800","6,631300","6,586800","0,680000000000000000",0.68%,,,24/06/16,Friday
Saturday,25/06/16,"6,631733","6,604200","6,639000","6,602833","0,603333",,,,25/06/16,Saturday
Sunday,26/06/16,"6,641667","6,621600","6,646700","6,618867","0,526667",,,,26/06/16,Sunday
Monday,27/06/16,"6,651600","6,639000","6,654400","6,634900","0,450000000000000000",0.45%,,,27/06/16,Monday
Tuesday,28/06/16,"6,648100","6,651100","6,655900","6,644500","-0,050000000000000000",-0.05%,,,28/06/16,Tuesday
Wednesday,29/06/16,"6,636700","6,646700","6,655700","6,634800","-0,170000000000000000",-0.17%,,,29/06/16,Wednesday
Thursday,30/06/16,"6,648000","6,637200","6,656300","6,637200","0,170000000000000000",0.17%,,,30/06/16,Thursday
Friday,01/07/16,"6,655700","6,646900","6,662300","6,646900","0,120000000000000000",0.12%,,,01/07/16,Friday
Saturday,02/07/16,"6,658900","6,650267","6,664467","6,649033","0,126667",,,,02/07/16,Saturday
Sunday,03/07/16,"6,662100","6,653633","6,666633","6,651167","0,133333",,,,03/07/16,Sunday
Monday,04/07/16,"6,665300","6,657000","6,668800","6,653300","0,140000000000000000",0.14%,,,04/07/16,Monday
Tuesday,05/07/16,"6,679600","6,665100","6,679900","6,665100","0,210000000000000000",0.21%,,,05/07/16,Tuesday
Wednesday,06/07/16,"6,693000","6,685500","6,697700","6,684000","0,200000000000000000",0.20%,,,06/07/16,Wednesday
Thursday,07/07/16,"6,681000","6,687000","6,689800","6,680000","-0,180000000000000000",-0.18%,,,07/07/16,Thursday
Friday,08/07/16,"6,688100","6,685100","6,689200","6,679800","0,110000000000000000",0.11%,,,08/07/16,Friday
Saturday,09/07/16,"6,690033","6,685800","6,690767","6,681933","0,103333",,,,09/07/16,Saturday
Sunday,10/07/16,"6,691967","6,686500","6,692333","6,684067","0,096667",,,,10/07/16,Sunday
Monday,11/07/16,"6,693900","6,687200","6,693900","6,686200","0,090000000000000000",0.09%,,,11/07/16,Monday
Tuesday,12/07/16,"6,688500","6,690500","6,694600","6,683600","-0,080000000000000000",-0.08%,,,12/07/16,Tuesday
Wednesday,13/07/16,"6,686300","6,682100","6,695500","6,681100","-0,030000000000000000",-0.03%,,,13/07/16,Wednesday
Thursday,14/07/16,"6,683600","6,687500","6,691700","6,683600","-0,040000000000000000",-0.04%,,,14/07/16,Thursday
Friday,15/07/16,"6,688700","6,681800","6,688700","6,681400","0,080000000000000000",0.08%,,,15/07/16,Friday
Saturday,16/07/16,"6,693967","6,685600","6,694667","6,685333","0,133333",,,,16/07/16,Saturday
Sunday,17/07/16,"6,699233","6,689400","6,700633","6,689267","0,186667",,,,17/07/16,Sunday
Monday,18/07/16,"6,704500","6,693200","6,706600","6,693200","0,240000000000000000",0.24%,,,18/07/16,Monday
Tuesday,19/07/16,"6,696300","6,704500","6,704500","6,692000","-0,120000000000000000",-0.12%,,,19/07/16,Tuesday
Wednesday,20/07/16,"6,677700","6,694900","6,694900","6,671800","-0,280000000000000000",-0.28%,,,20/07/16,Wednesday
Thursday,21/07/16,"6,675500","6,678000","6,683600","6,670000","-0,030000000000000000",-0.03%,,,21/07/16,Thursday
Friday,22/07/16,"6,679500","6,677000","6,679700","6,670300","0,060000000000000000",0.06%,,,22/07/16,Friday
Saturday,23/07/16,"6,679167","6,678767","6,680800","6,672200","0,036667",,,,23/07/16,Saturday
Sunday,24/07/16,"6,678833","6,680533","6,681900","6,674100","0,013333",,,,24/07/16,Sunday
Monday,25/07/16,"6,678500","6,682300","6,683000","6,676000","-0,010000000000000000",-0.01%,,,25/07/16,Monday
Tuesday,26/07/16,"6,672000","6,681500","6,682400","6,667800","-0,100000000000000000",-0.10%,,,26/07/16,Tuesday
Wednesday,27/07/16,"6,670000","6,671000","6,674800","6,668300","-0,030000000000000000",-0.03%,,,27/07/16,Wednesday
Thursday,28/07/16,"6,655400","6,669600","6,669600","6,654600","-0,220000000000000000",-0.22%,,,28/07/16,Thursday
Friday,29/07/16,"6,637300","6,650800","6,656100","6,636000","-0,270000000000000000",-0.27%,,,29/07/16,Friday
Saturday,30/07/16,"6,639500","6,644133","6,652100","6,634267","-0,146667",,,,30/07/16,Saturday
Sunday,31/07/16,"6,641700","6,637467","6,648100","6,632533","-0,023333",,,,31/07/16,Sunday
Monday,01/08/16,"6,643900","6,630800","6,644100","6,630800","0,100000000000000000",0.10%,,,01/08/16,Monday
Tuesday,02/08/16,"6,627200","6,645400","6,652300","6,626600","-0,250000000000000000",-0.25%,,,02/08/16,Tuesday
Wednesday,03/08/16,"6,634200","6,626100","6,636100","6,626000","0,110000000000000000",0.11%,,,03/08/16,Wednesday
Thursday,04/08/16,"6,641800","6,635000","6,647100","6,633000","0,110000000000000000",0.11%,,,04/08/16,Thursday
Friday,05/08/16,"6,656400","6,642300","6,656600","6,640400","0,220000000000000000",0.22%,,,05/08/16,Friday
Saturday,06/08/16,"6,658067","6,648267","6,659767","6,646500","0,173333",,,,06/08/16,Saturday
Sunday,07/08/16,"6,659733","6,654233","6,662933","6,652600","0,126667",,,,07/08/16,Sunday
Monday,08/08/16,"6,661400","6,660200","6,666100","6,658700","0,080000000000000000",0.08%,,,08/08/16,Monday
Tuesday,09/08/16,"6,655700","6,662400","6,666200","6,654900","-0,090000000000000000",-0.09%,,,09/08/16,Tuesday
Wednesday,10/08/16,"6,638000","6,656400","6,656400","6,629200","-0,270000000000000000",-0.27%,,,10/08/16,Wednesday
Thursday,11/08/16,"6,627700","6,630900","6,643800","6,627700","-0,160000000000000000",-0.16%,,,11/08/16,Thursday
Friday,12/08/16,"6,635300","6,642800","6,649000","6,633800","0,110000000000000000",0.11%,,,12/08/16,Friday
Saturday,13/08/16,"6,636200","6,643233","6,649033","6,634533","0,086667",,,,13/08/16,Saturday
Sunday,14/08/16,"6,637100","6,643667","6,649067","6,635267","0,063333",,,,14/08/16,Sunday
Monday,15/08/16,"6,638000","6,644100","6,649100","6,636000","0,040000000000000000",0.04%,,,15/08/16,Monday
Tuesday,16/08/16,"6,625300","6,638300","6,641000","6,614900","-0,190000000000000000",-0.19%,,,16/08/16,Tuesday
Wednesday,17/08/16,"6,634300","6,625600","6,636500","6,622500","0,140000000000000000",0.14%,,,17/08/16,Wednesday
Thursday,18/08/16,"6,631200","6,634300","6,635000","6,620100","-0,050000000000000000",-0.05%,,,18/08/16,Thursday
Friday,19/08/16,"6,653200","6,631300","6,655100","6,631300","0,330000000000000000",0.33%,,,19/08/16,Friday
Saturday,20/08/16,"6,652367","6,642867","6,659767","6,636300","0,206667",,,,20/08/16,Saturday
Sunday,21/08/16,"6,651533","6,654433","6,664433","6,641300","0,083333",,,,21/08/16,Sunday
Monday,22/08/16,"6,650700","6,666000","6,669100","6,646300","-0,040000000000000000",-0.04%,,,22/08/16,Monday
Tuesday,23/08/16,"6,640900","6,653400","6,654200","6,640600","-0,150000000000000000",-0.15%,,,23/08/16,Tuesday
Wednesday,24/08/16,"6,659100","6,643300","6,659800","6,640700","0,270000000000000000",0.27%,,,24/08/16,Wednesday
Thursday,25/08/16,"6,659300","6,659400","6,663800","6,654000","0,000000000000000000",0.00%,,,25/08/16,Thursday
Friday,26/08/16,"6,671900","6,662000","6,672300","6,656500","0,190000000000000000",0.19%,,,26/08/16,Friday
Saturday,27/08/16,"6,673833","6,666433","6,675133","6,661000","0,156667",,,,27/08/16,Saturday
Sunday,28/08/16,"6,675767","6,670867","6,677967","6,665500","0,123333",,,,28/08/16,Sunday
Monday,29/08/16,"6,677700","6,675300","6,680800","6,670000","0,090000000000000000",0.09%,,,29/08/16,Monday
Tuesday,30/08/16,"6,681200","6,679100","6,683700","6,675200","0,050000000000000000",0.05%,,,30/08/16,Tuesday
Wednesday,31/08/16,"6,679300","6,679700","6,682300","6,677500","-0,030000000000000000",-0.03%,,,31/08/16,Wednesday
Thursday,01/09/16,"6,671500","6,677900","6,680800","6,671500","-0,120000000000000000",-0.12%,,,01/09/16,Thursday
Friday,02/09/16,"6,680500","6,676200","6,683200","6,674300","0,130000000000000000",0.13%,,,02/09/16,Friday
Saturday,03/09/16,"6,679200","6,677667","6,682867","6,674600","0,066667",,,,03/09/16,Saturday
Sunday,04/09/16,"6,677900","6,679133","6,682533","6,674900","0,003333",,,,04/09/16,Sunday
Monday,05/09/16,"6,676600","6,680600","6,682200","6,675200","-0,060000000000000000",-0.06%,,,05/09/16,Monday
Tuesday,06/09/16,"6,675500","6,679900","6,690400","6,675500","-0,020000000000000000",-0.02%,,,06/09/16,Tuesday
Wednesday,07/09/16,"6,662500","6,675100","6,675100","6,661700","-0,190000000000000000",-0.19%,,,07/09/16,Wednesday
Thursday,08/09/16,"6,664300","6,662300","6,669100","6,656100","0,030000000000000000",0.03%,,,08/09/16,Thursday
Friday,09/09/16,"6,678100","6,666200","6,684300","6,666200","0,210000000000000000",0.21%,,,09/09/16,Friday
Saturday,10/09/16,"6,678767","6,670267","6,683633","6,669667","0,150000",,,,10/09/16,Saturday
Sunday,11/09/16,"6,679433","6,674333","6,682967","6,673133","0,090000",,,,11/09/16,Sunday
Monday,12/09/16,"6,680100","6,678400","6,682300","6,676600","0,030000000000000000",0.03%,,,12/09/16,Monday
Tuesday,13/09/16,"6,679400","6,680700","6,681400","6,676100","-0,010000000000000000",-0.01%,,,13/09/16,Tuesday
Wednesday,14/09/16,"6,673400","6,682200","6,682200","6,670700","-0,090000000000000000",-0.09%,,,14/09/16,Wednesday
Thursday,15/09/16,"6,673400","6,673400","6,673400","6,673400","0,000000000000000000",0.00%,,,15/09/16,Thursday
Friday,16/09/16,"6,673400","6,673400","6,673400","6,673400","0,000000000000000000",0.00%,,,16/09/16,Friday
Saturday,17/09/16,"6,671767","6,673633","6,674100","6,670233","-0,023333",,,,17/09/16,Saturday
Sunday,18/09/16,"6,670133","6,673867","6,674800","6,667067","-0,046667",,,,18/09/16,Sunday
Monday,19/09/16,"6,668500","6,674100","6,675500","6,663900","-0,070000000000000000",-0.07%,,,19/09/16,Monday
Tuesday,20/09/16,"6,672000","6,670100","6,674500","6,667000","0,050000000000000000",0.05%,,,20/09/16,Tuesday
Wednesday,21/09/16,"6,672100","6,674200","6,675900","6,672000","0,000000000000000000",0.00%,,,21/09/16,Wednesday
Thursday,22/09/16,"6,664800","6,663800","6,673200","6,663800","-0,110000000000000000",-0.11%,,,22/09/16,Thursday
Friday,23/09/16,"6,669400","6,666100","6,671500","6,663500","0,070000000000000000",0.07%,,,23/09/16,Friday
Saturday,24/09/16,"6,669233","6,668467","6,672067","6,665300","0,043333",,,,24/09/16,Saturday
Sunday,25/09/16,"6,669067","6,670833","6,672633","6,667100","0,016667",,,,25/09/16,Sunday
Monday,26/09/16,"6,668900","6,673200","6,673200","6,668900","-0,010000000000000000",-0.01%,,,26/09/16,Monday
Tuesday,27/09/16,"6,670100","6,669300","6,670800","6,666100","0,020000000000000000",0.02%,,,27/09/16,Tuesday
Wednesday,28/09/16,"6,675200","6,671700","6,675500","6,667300","0,080000000000000000",0.08%,,,28/09/16,Wednesday
Thursday,29/09/16,"6,667300","6,675300","6,675300","6,665000","-0,120000000000000000",-0.12%,,,29/09/16,Thursday
Friday,30/09/16,"6,671600","6,668100","6,673900","6,666600","0,060000000000000000",0.06%,,,30/09/16,Friday
Saturday,01/10/16,"6,671600","6,669267","6,673133","6,668267","0,040000",,,,01/10/16,Saturday
Sunday,02/10/16,"6,671600","6,670433","6,672367","6,669933","0,020000",,,,02/10/16,Sunday
Monday,03/10/16,"6,671600","6,671600","6,671600","6,671600","0,000000000000000000",0.00%,,,03/10/16,Monday
Tuesday,04/10/16,"6,671600","6,671600","6,671600","6,671600","0,000000000000000000",0.00%,,,04/10/16,Tuesday
Wednesday,05/10/16,"6,671600","6,671600","6,671600","6,671600","0,000000000000000000",0.00%,,,05/10/16,Wednesday
Thursday,06/10/16,"6,671600","6,671600","6,671600","6,671600","0,000000000000000000",0.00%,,,06/10/16,Thursday
Friday,07/10/16,"6,671600","6,671600","6,671600","6,671600","0,000000000000000000",0.00%,,,07/10/16,Friday
Saturday,08/10/16,"6,683533","6,671200","6,683767","6,671200","0,180000",,,,08/10/16,Saturday
Sunday,09/10/16,"6,695467","6,670800","6,695933","6,670800","0,360000",,,,09/10/16,Sunday
Monday,10/10/16,"6,707400","6,670400","6,708100","6,670400","0,540000000000000000",0.54%,,,10/10/16,Monday
Tuesday,11/10/16,"6,722000","6,709100","6,722000","6,707800","0,220000000000000000",0.22%,,,11/10/16,Tuesday
Wednesday,12/10/16,"6,719000","6,716100","6,723700","6,714000","-0,040000000000000000",-0.04%,,,12/10/16,Wednesday
Thursday,13/10/16,"6,727400","6,727700","6,734100","6,723800","0,130000000000000000",0.13%,,,13/10/16,Thursday
Friday,14/10/16,"6,728800","6,726000","6,728800","6,721700","0,020000000000000000",0.02%,,,14/10/16,Friday
Saturday,15/10/16,"6,731700","6,728133","6,733367","6,725167","0,056667",,,,15/10/16,Saturday
Sunday,16/10/16,"6,734600","6,730267","6,737933","6,728633","0,093333",,,,16/10/16,Sunday
Monday,17/10/16,"6,737500","6,732400","6,742500","6,732100","0,130000000000000000",0.13%,,,17/10/16,Monday
Tuesday,18/10/16,"6,740900","6,735900","6,741800","6,733000","0,050000000000000000",0.05%,,,18/10/16,Tuesday
Wednesday,19/10/16,"6,737900","6,736800","6,741400","6,736000","-0,040000000000000000",-0.04%,,,19/10/16,Wednesday
Thursday,20/10/16,"6,745400","6,738500","6,745400","6,735500","0,110000000000000000",0.11%,,,20/10/16,Thursday
Friday,21/10/16,"6,766700","6,745200","6,767200","6,745200","0,320000000000000000",0.32%,,,21/10/16,Friday
Saturday,22/10/16,"6,769533","6,751633","6,770267","6,751633","0,256667",,,,22/10/16,Saturday
Sunday,23/10/16,"6,772367","6,758067","6,773333","6,758067","0,193333",,,,23/10/16,Sunday
Monday,24/10/16,"6,775200","6,764500","6,776400","6,764500","0,130000000000000000",0.13%,,,24/10/16,Monday
Tuesday,25/10/16,"6,781200","6,776000","6,784100","6,776000","0,090000000000000000",0.09%,,,25/10/16,Tuesday
Wednesday,26/10/16,"6,771200","6,772700","6,774600","6,767000","-0,150000000000000000",-0.15%,,,26/10/16,Wednesday
Thursday,27/10/16,"6,785100","6,775200","6,785100","6,775200","0,210000000000000000",0.21%,,,27/10/16,Thursday
Friday,28/10/16,"6,779000","6,785000","6,789900","6,778200","-0,090000000000000000",-0.09%,,,28/10/16,Friday
Saturday,29/10/16,"6,777933","6,780500","6,785200","6,775567","-0,076667",,,,29/10/16,Saturday
Sunday,30/10/16,"6,776867","6,776000","6,780500","6,772933","-0,063333",,,,30/10/16,Sunday
Monday,31/10/16,"6,775800","6,771500","6,775800","6,770300","-0,050000000000000000",-0.05%,,,31/10/16,Monday
Tuesday,01/11/16,"6,766500","6,777000","6,780300","6,765100","-0,140000000000000000",-0.14%,,,01/11/16,Tuesday
Wednesday,02/11/16,"6,757000","6,761600","6,767700","6,756900","-0,140000000000000000",-0.14%,,,02/11/16,Wednesday
Thursday,03/11/16,"6,764600","6,757800","6,766400","6,757800","0,110000000000000000",0.11%,,,03/11/16,Thursday
Friday,04/11/16,"6,756500","6,764200","6,764900","6,756400","-0,120000000000000000",-0.12%,,,04/11/16,Friday
Saturday,05/11/16,"6,763200","6,761467","6,769367","6,756267","0,020000",,,,05/11/16,Saturday
Sunday,06/11/16,"6,769900","6,758733","6,773833","6,756133","0,160000",,,,06/11/16,Sunday
Monday,07/11/16,"6,776600","6,756000","6,778300","6,756000","0,300000000000000000",0.30%,,,07/11/16,Monday
Tuesday,08/11/16,"6,787400","6,777400","6,787700","6,777400","0,160000000000000000",0.16%,,,08/11/16,Tuesday
Wednesday,09/11/16,"6,780000","6,785100","6,787700","6,758100","-0,110000000000000000",-0.11%,,,09/11/16,Wednesday
Thursday,10/11/16,"6,801900","6,793900","6,802200","6,791800","0,320000000000000000",0.32%,,,10/11/16,Thursday
Friday,11/11/16,"6,812500","6,817000","6,819300","6,798900","0,160000000000000000",0.16%,,,11/11/16,Friday
Saturday,12/11/16,"6,823933","6,815067","6,828600","6,803000","0,273333",,,,12/11/16,Saturday
Sunday,13/11/16,"6,835367","6,813133","6,837900","6,807100","0,386667",,,,13/11/16,Sunday
Monday,14/11/16,"6,846800","6,811200","6,847200","6,811200","0,500000000000000000",0.50%,,,14/11/16,Monday
Tuesday,15/11/16,"6,859100","6,844500","6,867500","6,844500","0,180000000000000000",0.18%,,,15/11/16,Tuesday
Wednesday,16/11/16,"6,880400","6,860400","6,880400","6,860400","0,310000000000000000",0.31%,,,16/11/16,Wednesday
Thursday,17/11/16,"6,878200","6,879300","6,879300","6,869700","-0,030000000000000000",-0.03%,,,17/11/16,Thursday
Friday,18/11/16,"6,888700","6,876400","6,893000","6,876400","0,150000000000000000",0.15%,,,18/11/16,Friday
Saturday,19/11/16,"6,890067","6,880267","6,895333","6,879733","0,120000",,,,19/11/16,Saturday
Sunday,20/11/16,"6,891433","6,884133","6,897667","6,883067","0,090000",,,,20/11/16,Sunday
Monday,21/11/16,"6,892800","6,888000","6,900000","6,886400","0,060000000000000000",0.06%,,,21/11/16,Monday
Tuesday,22/11/16,"6,890000","6,893800","6,893800","6,884000","-0,040000000000000000",-0.04%,,,22/11/16,Tuesday
Wednesday,23/11/16,"6,920200","6,888700","6,920300","6,888700","0,440000000000000000",0.44%,,,23/11/16,Wednesday
Thursday,24/11/16,"6,919600","6,923000","6,923800","6,917000","-0,010000000000000000",-0.01%,,,24/11/16,Thursday
Friday,25/11/16,"6,919800","6,922200","6,923200","6,914200","0,000000000000000000",0.00%,,,25/11/16,Friday
Saturday,26/11/16,"6,916100","6,917300","6,918500","6,910433","-0,053333",,,,26/11/16,Saturday
